Gestion;Sucursal;FechaRegistroSiniestro;FechaDenunciaSiniestro;FechaSiniestro;FechaCierre ;DiasCierre;Ramo;Plan;Corredor;NumeroPoliza;MontoOrdenPago;SubEstadoSiniestro;FechaEmisionPoliza;FechaInicioPoliza;FechaFinPoliza
2022;LPZ;5/9/2022;5/9/2022;4/9/2022;15/10/2022;40; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000005;0;CERRADO DECLINADO;9/6/2022;7/6/2022;7/6/2023
2022;SCZ;8/10/2022;3/10/2022;2/10/2022;31/7/2024;662; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;4208.24;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2022;SCZ;28/10/2022;26/10/2022;24/10/2022;1/6/2023;216; ACCIDENTES PERSONALES;PLAN GENERAL;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPG-SCZ0000004;229.83;CERRADO LIQUIDADO;1/9/2022;29/7/2022;29/7/2023
2022;SCZ;1/11/2022;19/10/2022;19/10/2022;10/11/2022;9; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;61.66;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
2022;SCZ;7/12/2022;4/12/2022;4/12/2022;17/4/2024;497; ACCIDENTES PERSONALES;$US. - PLAN GENERAL. ;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS;ACPI-SCZ0000011;9322.15;CERRADO LIQUIDADO;10/9/2022;29/8/2022;29/8/2023
2022;LPZ;28/12/2022;5/12/2022;2/12/2022;28/7/2023;212; ACCIDENTES PERSONALES;PLAN GENERAL;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS S.R.L.;ACPG-LPZ0000005;1711.8;CERRADO LIQUIDADO;9/6/2022;7/6/2022;7/6/2023
2023;LPZ;31/1/2023;6/1/2023;6/1/2023;28/7/2023;178; ACCIDENTES PERSONALES;PLAN GENERAL;CRISTIAN ANTONIO LUNA SALAMANCA;ACPG-LPZ0000006;72.93;CERRADO LIQUIDADO;23/8/2022;5/8/2022;5/8/2023
2023;SCZ;17/2/2023;10/12/2022;2/12/2022;30/10/2023;255; ACCIDENTES PERSONALES;PLAN GENERAL;ANA KAREN PARADA ORTIZ;ACPG-SCZ0000046;2112.24;CERRADO LIQUIDADO;28/10/2022;26/10/2022;26/10/2023
2023;SCZ;23/2/2023;9/2/2023;6/2/2023;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;ATENCION;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;20/3/2023;7/3/2023;6/3/2023;27/3/2024;373; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;1324.02;CERRADO LIQUIDADO;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;20/3/2023;16/3/2023;14/3/2023;; ; ACCIDENTES PERSONALES;PLAN GENERAL;OFICINA;ACPG-SCZ0000052;0;ATENCION;20/12/2022;1/12/2022;1/12/2023
2023;SCZ;23/3/2023;24/2/2023;13/2/2023;27/5/2023;65; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000044;5072.89;CERRADO LIQUIDADO;15/10/2022;13/10/2022;13/10/2023
2024;SCZ;20/5/2023;17/5/2023;16/5/2023;26/8/2024;464; ACCIDENTES PERSONALES;PLAN GENERAL;CORRESUR S.R.L. CORREDORES Y ASESORES DE SEGUROS;ACPG-SCZ0000006;95.47;CERRADO LIQUIDADO;20/9/2022;19/9/2022;19/9/2023
